"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"38","08116018","1751","987","33","9021","9021","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9021","None","None","None","None","None","Erkenbrechtsweiler",9.432874,48.557932
"39","08116019","68314","31571","695","1120401","1120401","266497","280947","208952","45465","59843","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","258697","None","None","None","None","None","Esslingen am Neckar, Stadt",9.309565,48.741347
"40","08116020","6876","3460","142","50916","50916","20749","17228","None","None","None","None","None","None","None","None","None","None","None","None","3322","None","None","None","None","None","None","None","None","None","None","None","9617","None","None","None","None","None","Frickenhausen",9.359845,48.593654
"41","08116022","3446","1851","33","23508","23508","7873","1439","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9612","None","None","None","4584","None","Großbettlingen",9.30894,48.590744
"42","08116027","3854","2247","46","29067","29067","6647","6592","4358","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11470","None","None","None","None","None","Hochdorf",9.46184,48.692863
"43","08116029","1730","1108","22","10600","10600","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10600","None","None","None","None","None","Holzmaden",9.51855,48.633843
"44","08116033","31124","14073","683","366121","366121","71623","70775","63109","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","23125","None","None","None","None","None","None","100432","None","None","None","37057","None","Kirchheim unter Teck, Stadt",9.453784,48.646093
"45","08116035","7474","3983","61","65349","65349","19373","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19919","None","None","None","None","None","None","None","None","None","26057","None","None","None","None","None","Köngen",9.363326,48.684568
"46","08116036","1834","957","22","10509","10509","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10509","None","None","None","None","None","Kohlberg",9.331974,48.558416
"47","08116037","2088","1331","11","15253","15253","4274","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10979","None","None","None","None","None","Lichtenwald",9.484433,48.752691
"48","08116041","2990","1751","29","22741","22741","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","6330","2577","None","None","None","None","None","None","None","13834","None","None","None","None","None","Neckartailfingen",9.262633,48.61255
